S/No.,REGION,COUNTY,SUB COUNTY,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/,DISABILITY,ACCOMODATI,GENDER
1,RIFT VALLEY,BARINGO,BARINGO,7J98,33517209,A I C PHILEMON CHELAGAT GIRLS,C3,PUBLIC,RSNEEG/ULAR,NTOYPNE,BOONA TRYDPIENG,GIRLS
2,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,GMUY,33517103,AIC KAPKELELWA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,MIXED
3,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,TM99,33517207,KAPKAWA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,MIXED
4,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,K6P9,33517206,NGETMOI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
5,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,U7EC,33517208,OINOBMOI HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
6,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,FMQL,33517106,SANGARAU GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
7,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,CLM9,33517204,TALAI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,MIXED
8,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,DX8R,33547104,AIYEBO HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
9,RIFT VALLEY,BARINGO,NBAORITNHGO,VQG4,33547205,ARAP MOI SECONDARY SCHOOL BARTABWA,C3,PUBLIC,REGULAR,NONE,BOARDING,MIXED
10,RIFT VALLEY,BARINGO,NBAORITNHGO,VKW8,33547106,KAPCHEPKOR SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
11,RIFT VALLEY,BARINGO,NBAORITNHGO,7DJ9,33547105,KAPKIAMO SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,MIXED
