S/No.,REGION,COUNTY,SUB,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/,DISABILITY,ACCOMODATI,GENDER
1,RIFT VALLEY,BARINGO,BCOARUINNTGYO,5XVV,33517112,BEKIBON SECONDARY SCHOOL,C4,PUBLIC,RSNEGE/ULAR,NTOYNPEE,DOANY TYPE,MIXED
2,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,5PK2,33517110,CHEPKERO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,WDP3,33517223,CHESONGO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
4,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,B9WQ,33517403,EMOM SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
5,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,CKGL,33517229,KABARBARMA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
6,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,KS6U,33517218,KABARNET HURTH MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
7,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,7C2A,33517210,KAPCHOMUSO DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
8,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,69MH,33517117,KAPKOMOI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
9,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,XYXR,33517224,KAPKUT MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
10,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,66LY,33517230,KAPSERGONG SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
11,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,NAY3,33517221,KAPSOGO SCHWENK MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
12,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,CPVA,33517216,KAPTIMBOR MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
